# Id	Level	Super-class	RefName
1.5.6.3	4	Social philosophy	Marxism
1.5.7	3	Philosophy	Philosophical movement|Philosophical traditions and schools
1.5.7.1	4	Philosophical movement|Philosophical traditions and schools	African philosophy
1.5.7.2	4	Philosophical movement|Philosophical traditions and schools	Platonism
1.5.7.3	4	Philosophical movement|Philosophical traditions and schools	Aristotelianism
1.5.7.4	4	Philosophical movement|Philosophical traditions and schools	Analytic philosophy
1.5.7.5	4	Philosophical movement|Philosophical traditions and schools	Continental philosophy
1.5.7.6	4	Philosophical movement|Philosophical traditions and schools	Eastern philosophy
1.5.7.7	4	Philosophical movement|Philosophical traditions and schools	Feminist philosophy
1.5.8	3	Philosophy	History of philosophy
1.5.8.1	4	History of philosophy	Ancient philosophy
1.5.8.2	4	History of philosophy	Medieval philosophy
1.5.8.2.1	5	Medieval philosophy	Scholasticism
1.5.8.2.2	5	Medieval philosophy	Humanism
1.5.8.3	4	History of philosophy	Modern philosophy
1.5.8.4	4	History of philosophy	Contemporary philosophy
1.5.9	3	Philosophy	Logic
1.5.9.1	4	Logic	Philosophical logic
1.5.9.2	4	Logic	Mathematical logic
1.5.10	3	Philosophy	Philosophy#Applied philosophy|Applied philosophy
1.5.10.1	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of education
1.5.10.2	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of history
1.5.10.3	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of religion
1.5.10.4	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of language
1.5.10.5	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of law
1.5.10.6	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of mathematics
1.5.10.7	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of music
1.5.10.8	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of science
1.5.10.8.1	5	Philosophy of science	Philosophy of social science
1.5.10.8.2	5	Philosophy of science	Philosophy of physics
1.5.10.8.3	5	Philosophy of science	Philosophy of biology
1.5.10.8.4	5	Philosophy of science	Philosophy of chemistry
1.5.10.8.5	5	Philosophy of science	Philosophy and economics|Philosophy of economics
1.5.10.8.6	5	Philosophy of science	Philosophy of psychology
1.5.10.9	4	Philosophy#Applied philosophy|Applied philosophy	Philosophy of engineering
1.5.10.10	4	Philosophy#Applied philosophy|Applied philosophy	Systems philosophy
1.6	2	Humanities	Religion
1.6.1	3	Religion	Abrahamic religions
1.6.1.1	4	Abrahamic religions	Baha'i Faith
1.6.1.2	4	Abrahamic religions	Christianity
1.6.1.2.1	5	Christianity	Christian theology
1.6.1.2.1.1	6	Christian theology	Biblical theology|Bibliology
1.6.1.2.1.2	6	Christian theology	Hermeneutics
1.6.1.2.1.3	6	Christian theology	Theology Proper
1.6.1.2.1.3.1	7	Theology Proper	Christology
1.6.1.2.1.3.2	7	Theology Proper	Pneumatology
1.6.1.2.1.3.3	7	Theology Proper	Demonology
1.6.1.2.1.4	6	Christian theology	Theological anthropology
1.6.1.2.1.5	6	Christian theology	Soteriology
1.6.1.2.1.6	6	Christian theology	Biblical law in Christianity|Nomology
1.6.1.2.1.7	6	Christian theology	Ecclesiology
1.6.1.2.1.8	6	Christian theology	Eschatology
1.6.1.2.1.9	6	Christian theology	Christian ethics
1.6.1.3	4	Abrahamic religions	Islam
1.6.1.4	4	Abrahamic religions	Judaism
1.6.2	3	Religion	Indian religions
1.6.2.1	4	Indian religions	Buddhism
1.6.2.2	4	Indian religions	Hinduism
1.6.2.3	4	Indian religions	Jainism
1.6.2.4	4	Indian religions	Sikhism
1.6.3	3	Religion	East Asian religions
1.6.3.1	4	East Asian religions	Chinese folk religion
1.6.3.2	4	East Asian religions	Confucianism
1.6.3.3	4	East Asian religions	Shinto
1.6.3.4	4	East Asian religions	Daoism
1.6.3.5	4	East Asian religions	I-Kuan Tao
1.6.3.6	4	East Asian religions	Caodaism
1.6.3.7	4	East Asian religions	Chondogyo
1.6.3.8	4	East Asian religions	Tenrikyo
1.6.3.9	4	East Asian religions	Oomoto
1.6.4	3	Religion	Other religions
1.6.4.1	4	Other religions	Religion in Africa|African religions
1.6.4.2	4	Other religions	Ancient Egyptian religion
1.6.4.3	4	Other religions	Indigenous peoples of the Americas|Native American religions
1.6.4.4	4	Other religions	Gnosticism
1.6.4.5	4	Other religions	Western Esotericism (academia)|Esotericism
1.6.4.6	4	Other religions	New religious movements
1.6.4.7	4	Other religions	Sumerian religion
1.6.4.8	4	Other religions	Zoroastrianism
1.6.5	3	Religion	Comparative religion
1.6.6	3	Religion	Mythology
1.6.7	3	Religion	Irreligion
1.6.7.1	4	Irreligion	Agnostic
1.6.7.2	4	Irreligion	Atheism
2	1	Social sciences	Social sciences
2.1	2	Social sciences	Anthropology
2.1.1	3	Anthropology	Biological anthropology
2.1.1.1	4	Biological anthropology	Forensic anthropology
2.1.1.2	4	Biological anthropology	Dual inheritance theory|Gene-culture coevolution
2.1.1.3	4	Biological anthropology	Human behavioral ecology
2.1.1.4	4	Biological anthropology	Human evolution
2.1.1.5	4	Biological anthropology	Medical anthropology
2.1.1.6	4	Biological anthropology	Paleoanthropology
2.1.1.7	4	Biological anthropology	Population genetics
2.1.1.8	4	Biological anthropology	Primatology
2.1.2	3	Anthropology	Anthropological linguistics
2.1.2.1	4	Anthropological linguistics	Descriptive linguistics|Synchronic linguistics
2.1.2.2	4	Anthropological linguistics	Diachronic linguistics
2.1.2.3	4	Anthropological linguistics	Ethnolinguistics
2.1.2.4	4	Anthropological linguistics	Sociolinguistics
2.1.3	3	Anthropology	Cultural anthropology
2.1.3.1	4	Cultural anthropology	Anthropology of religion
2.1.3.2	4	Cultural anthropology	Economic anthropology
2.1.3.3	4	Cultural anthropology	Ethnography
2.1.3.4	4	Cultural anthropology	Ethnohistory
2.1.3.5	4	Cultural anthropology	Ethnology
2.1.3.6	4	Cultural anthropology	Ethnomusicology
2.1.3.7	4	Cultural anthropology	Folklore
2.1.3.8	4	Cultural anthropology	Mythology
2.1.3.9	4	Cultural anthropology	Missiology
2.1.3.10	4	Cultural anthropology	Political anthropology
2.1.3.11	4	Cultural anthropology	Psychological anthropology
2.2	2	Social sciences	Archaeology
2.2.1	3	Archaeology	Classical archaeology
2.2.2	3	Archaeology	Egyptology
2.2.3	3	Archaeology	Architectural Analytics
2.2.4	3	Archaeology	Experimental archaeology
2.2.5	3	Archaeology	Maritime archaeology
2.2.6	3	Archaeology	Near Eastern archaeology
2.2.7	3	Archaeology	Paleoanthropology
2.2.8	3	Archaeology	Prehistoric archaeology
2.3	2	Social sciences	Area studies
2.3.1	3	Area studies	African studies
2.3.2	3	Area studies	American studies
2.3.2.1	4	American studies	Appalachian studies
2.3.2.2	4	American studies	Canadian studies
2.3.2.3	4	American studies	Latin American studies
2.3.3	3	Area studies	Asian studies
2.3.3.1	4	Asian studies	Indology
2.3.3.2	4	Asian studies	Iranian studies
2.3.3.3	4	Asian studies	Japanology
2.3.3.4	4	Asian studies	Korean studies
2.3.3.5	4	Asian studies	Pakistan studies
2.3.3.6	4	Asian studies	Sinology
2.3.3.7	4	Asian studies	Southeast Asian studies
2.3.4	3	Area studies	European studies
2.3.4.1	4	European studies	Celtic studies
2.3.4.2	4	European studies	German studies
2.3.4.3	4	European studies	Scandinavian studies
2.3.4.4	4	European studies	Slavic studies
2.3.5	3	Area studies	Australian studies
2.3.6	3	Area studies	Middle East studies
2.4	2	Social sciences	Cultural and ethnic studies
2.4.1	3	Cultural and ethnic studies	Asian studies
2.4.2	3	Cultural and ethnic studies	Asian American studies
2.4.3	3	Cultural and ethnic studies	Black studies
2.4.4	3	Cultural and ethnic studies	Chicano studies
2.4.5	3	Cultural and ethnic studies	Childhood studies
2.4.6	3	Cultural and ethnic studies	Disability studies
2.4.7	3	Cultural and ethnic studies	Latino studies
2.4.8	3	Cultural and ethnic studies	Native American studies
2.4.9	3	Cultural and ethnic studies	Deaf Studies
2.5	2	Social sciences	Economics
2.5.1	3	Economics	Agricultural economics
2.5.2	3	Economics	Anarchist economics
2.5.3	3	Economics	Behavioral economics
2.5.4	3	Economics	Bioeconomics (biophysical)|Bioeconomics
2.5.5	3	Economics	Complexity economics
2.5.6	3	Economics	Computational economics
2.5.7	3	Economics	Consumer economics
2.5.8	3	Economics	Development economics
2.5.9	3	Economics	Ecological economics
2.5.10	3	Economics	Econometrics
2.5.11	3	Economics	Economic geography
2.5.12	3	Economics	Economic history
2.5.13	3	Economics	Economic sociology
2.5.14	3	Economics	Economic systems
2.5.15	3	Economics	Energy economics
2.5.16	3	Economics	Entrepreneurial economics
2.5.17	3	Economics	Environmental economics
2.5.18	3	Economics	Evolutionary economics
2.5.19	3	Economics	Experimental economics
2.5.20	3	Economics	Feminist economics
2.5.21	3	Economics	Financial economics
2.5.22	3	Economics	Financial econometrics
2.5.23	3	Economics	Green economics
2.5.24	3	Economics	Economic growth|Growth economics
2.5.25	3	Economics	Human development theory
2.5.26	3	Economics	Industrial organization
2.5.27	3	Economics	Information economics
2.5.28	3	Economics	Institutional economics
2.5.29	3	Economics	International economics
2.5.30	3	Economics	Islamic economics
2.5.31	3	Economics	Labor economics
2.5.32	3	Economics	Law and economics
2.5.33	3	Economics	Macroeconomics
2.5.34	3	Economics	Managerial economics
2.5.35	3	Economics	Marxian economics
2.5.36	3	Economics	Mathematical economics
2.5.37	3	Economics	Microeconomics
2.5.38	3	Economics	Monetary economics
2.5.39	3	Economics	Neuroeconomics
2.5.40	3	Economics	Participatory Economics
2.5.41	3	Economics	Political economy
2.5.42	3	Economics	Public finance
2.5.43	3	Economics	Public economics
2.5.44	3	Economics	Real estate economics
2.5.45	3	Economics	Resource economics
2.5.46	3	Economics	Social choice theory
2.5.47	3	Economics	Socialist economics
2.5.48	3	Economics	Socioeconomics
2.5.49	3	Economics	Transport economics
2.5.50	3	Economics	Welfare economics
2.6	2	Social sciences	Gender and sexuality studies
2.6.1	3	Gender and sexuality studies	Feminine psychology
2.6.2	3	Gender and sexuality studies	Gender studies
2.6.3	3	Gender and sexuality studies	Heterosexism
2.6.4	3	Gender and sexuality studies	Human sexual behavior
2.6.5	3	Gender and sexuality studies	Human sexuality
2.6.6	3	Gender and sexuality studies	Masculine psychology
2.6.7	3	Gender and sexuality studies	Men's studies
2.6.8	3	Gender and sexuality studies	Queer studies
2.6.9	3	Gender and sexuality studies	Sex education
2.6.10	3	Gender and sexuality studies	Sexology
2.6.11	3	Gender and sexuality studies	Women's studies
2.7	2	Social sciences	Geography
2.7.1	3	Geography	Cartography
2.7.2	3	Geography	Human geography
2.7.2.1	4	Human geography	Cultural geography
2.7.2.1.1	5	Cultural geography	Feminist geography
2.7.2.2	4	Human geography	Economic geography
2.7.2.2.1	5	Economic geography	Development geography
2.7.2.3	4	Human geography	Historical geography
2.7.2.4	4	Human geography	Time geography
2.7.2.5	4	Human geography	Political geography
2.7.2.5.1	5	Political geography	Military geography
2.7.2.5.2	5	Political geography	Strategic geography
2.7.2.6	4	Human geography	Population geography
2.7.2.7	4	Human geography	Social geography
2.7.2.7.1	5	Social geography	Behavioral geography
2.7.2.7.2	5	Social geography	Children's geographies
2.7.2.7.3	5	Social geography	Health geography
2.7.2.7.4	5	Social geography	Tourism geography
2.7.2.8	4	Human geography	Urban geography
2.7.3	3	Geography	Environmental geography
2.7.4	3	Geography	Physical geography
2.7.4.1	4	Physical geography	Biogeography
2.7.4.2	4	Physical geography	Climatology
2.7.4.2.1	5	Climatology	Palaeoclimatology
2.7.4.3	4	Physical geography	Coastal geography
2.7.4.4	4	Physical geography	Geomorphology
2.7.4.5	4	Physical geography	Geodesy
2.7.4.6	4	Physical geography	Hydrology
2.7.4.6.1	5	Hydrology	Glaciology
2.7.4.6.2	5	Hydrology	Limnology
2.7.4.6.3	5	Hydrology	Oceanography
2.7.4.7	4	Physical geography	Landscape ecology
2.7.4.8	4	Physical geography	Palaeogeography
2.7.5	3	Geography	Regional geography
2.7.6	3	Geography	Remote sensing
2.8	2	Social sciences	Political science
2.8.1	3	Political science	American politics
2.8.2	3	Political science	Canadian politics
2.8.3	3	Political science	Civics
2.8.4	3	Political science	Comparative politics
2.8.5	3	Political science	European Studies
2.8.6	3	Political science	Geopolitics
2.8.7	3	Political science	International relations
2.8.8	3	Political science	International organizations
2.8.9	3	Political science	Nationalism studies
2.8.10	3	Political science	Peace and conflict studies
2.8.11	3	Political science	Policy studies
2.8.12	3	Political science	Political behavior
2.8.13	3	Political science	Political culture
2.8.14	3	Political science	Political economy
2.8.15	3	Political science	Political history
2.8.16	3	Political science	Political philosophy
2.8.17	3	Political science	Psephology
2.8.18	3	Political science	Public administration
2.8.18.1	4	Public administration	Nonprofit|Nonprofit administration
2.8.18.2	4	Public administration	Non-governmental organization|Non-governmental organization (NGO) administration
2.8.19	3	Political science	Public policy
2.8.20	3	Political science	Social choice theory
2.9	2	Social sciences	Psychology
2.9.1	3	Psychology	Abnormal psychology
2.9.2	3	Psychology	Applied psychology
2.9.3	3	Psychology	Biological psychology
2.9.4	3	Psychology	Clinical psychology
2.9.5	3	Psychology	Clinical neuropsychology
2.9.6	3	Psychology	Cognitive psychology
2.9.7	3	Psychology	Community psychology
2.9.8	3	Psychology	Comparative psychology
2.9.9	3	Psychology	Conservation psychology
2.9.10	3	Psychology	Consumer psychology
2.9.11	3	Psychology	Counseling psychology
2.9.12	3	Psychology	Cultural psychology
2.9.13	3	Psychology	Differential psychology
2.9.14	3	Psychology	Developmental psychology
2.9.15	3	Psychology	Educational psychology
2.9.16	3	Psychology	Environmental psychology
2.9.17	3	Psychology	Evolutionary psychology
2.9.18	3	Psychology	Experimental psychology
2.9.19	3	Psychology	Group dynamics|Group psychology
2.9.20	3	Psychology	Journal of Family Psychology|Family Psychology
2.9.21	3	Psychology	Forensic psychology
2.9.22	3	Psychology	Health psychology
2.9.23	3	Psychology	Humanistic psychology
2.9.24	3	Psychology	Legal psychology
2.9.25	3	Psychology	Media psychology
2.9.26	3	Psychology	Medical psychology
2.9.27	3	Psychology	Military psychology
2.9.28	3	Psychology	Moral psychology
2.9.29	3	Psychology	Neuropsychology
2.9.30	3	Psychology	Occupational health psychology
2.9.31	3	Psychology	Industrial and organizational psychology|Organizational psychology
2.9.32	3	Psychology	Parapsychology
2.9.33	3	Psychology	Pediatric psychology
2.9.34	3	Psychology	Personality psychology
2.9.35	3	Psychology	Political psychology
2.9.36	3	Psychology	Positive psychology
2.9.37	3	Psychology	Psychoanalysis
2.9.38	3	Psychology	Psychometrics
2.9.39	3	Psychology	Psychology of religion
2.9.40	3	Psychology	Psychophysics
2.9.41	3	Psychology	Quantitative psychology
2.9.42	3	Psychology	Rehabilitation Psychology (journal)|Rehabilitation Psychology
2.9.43	3	Psychology	School psychology
2.9.44	3	Psychology	Social psychology (psychology)|Social psychology
2.9.45	3	Psychology	Sport psychology
2.10	2	Social sciences	Sociology
2.10.1	3	Sociology	Applied sociology
2.10.1.1	4	Applied sociology	Political sociology
2.10.1.2	4	Applied sociology	Public sociology
2.10.1.3	4	Applied sociology	Social engineering (political science)|Social engineering
2.10.1.4	4	Applied sociology	Leisure studies
2.10.2	3	Sociology	Collective behavior
2.10.2.1	4	Collective behavior	Social movements
2.10.3	3	Sociology	Community informatics
2.10.3.1	4	Community informatics	Social network analysis
2.10.4	3	Sociology	Comparative sociology
2.10.5	3	Sociology	Conflict theory
2.10.6	3	Sociology	Cultural studies
2.10.7	3	Sociology	Criminology
2.10.8	3	Sociology	Critical management studies
2.10.9	3	Sociology	Demography
2.10.10	3	Sociology	Environmental sociology
2.10.11	3	Sociology	Feminist sociology
2.10.12	3	Sociology	Futures studies
2.10.13	3	Sociology	Human ecology
2.10.14	3	Sociology	Humanistic sociology
2.10.15	3	Sociology	Interactionism
2.10.15.1	4	Interactionism	Phenomenology (philosophy)|Phenomenology
2.10.15.2	4	Interactionism	Ethnomethodology
2.10.15.3	4	Interactionism	Symbolic interactionism
2.10.15.4	4	Interactionism	Social constructionism
2.10.16	3	Sociology	Medical sociology
2.10.17	3	Sociology	Military sociology
2.10.18	3	Sociology	Organizational studies
2.10.19	3	Sociology	Science studies
2.10.20	3	Sociology	Sexology
2.10.21	3	Sociology	Social capital
2.10.22	3	Sociology	Social change
2.10.23	3	Sociology	Social transformation
2.10.24	3	Sociology	Social control
2.10.24.1	4	Social control	Pure sociology
2.10.25	3	Sociology	Social economy
2.10.26	3	Sociology	Social philosophy
2.10.27	3	Sociology	Social psychology
2.10.28	3	Sociology	Social policy
2.10.29	3	Sociology	Social research
2.10.29.1	4	Social research	Computational sociology
2.10.29.2	4	Social research	Economic sociology
2.10.29.2.1	5	Economic sociology	Economic development
2.10.29.2.2	5	Economic sociology	Social development
2.10.30	3	Sociology	Sociology of culture
2.10.31	3	Sociology	Sociology of deviance
2.10.32	3	Sociology	Sociology of education
2.10.33	3	Sociology	Sociology of gender
2.10.34	3	Sociology	Sociology of the family
2.10.35	3	Sociology	Sociology of knowledge
2.10.36	3	Sociology	Sociology of law
2.10.37	3	Sociology	Sociology of religion
2.10.38	3	Sociology	Sociology of sport
2.10.39	3	Sociology	Sociology of work
2.10.40	3	Sociology	Social theory
2.10.41	3	Sociology	Social stratification
2.10.42	3	Sociology	Sociological theory
2.10.43	3	Sociology	Sociobiology
2.10.44	3	Sociology	Sociocybernetics
2.10.45	3	Sociology	Sociolinguistics
2.10.46	3	Sociology	Urban studies
2.10.47	3	Sociology	Visual sociology
3	1	Natural sciences	Natural sciences
3.1	2	Natural sciences	Biology
3.1.1	3	Biology	Aerobiology
3.1.2	3	Biology	Anatomy
3.1.2.1	4	Anatomy	Comparative anatomy
3.1.2.2	4	Anatomy	Human anatomy
3.1.3	3	Biology	Biochemistry
3.1.4	3	Biology	Bioinformatics
3.1.5	3	Biology	Biophysics
3.1.6	3	Biology	Biotechnology
3.1.7	3	Biology	Botany
3.1.7.1	4	Botany	Ethnobotany
3.1.7.2	4	Botany	Phycology
3.1.8	3	Biology	Cell biology
3.1.9	3	Biology	Chronobiology
3.1.10	3	Biology	Computational biology
3.1.11	3	Biology	Cryobiology
3.1.12	3	Biology	Developmental biology
3.1.12.1	4	Developmental biology	Embryology
3.1.12.2	4	Developmental biology	Teratology
3.1.13	3	Biology	Ecology
3.1.13.1	4	Ecology	Agroecology
3.1.13.2	4	Ecology	Ethnoecology
3.1.13.3	4	Ecology	Human ecology
3.1.13.4	4	Ecology	Landscape ecology
3.1.14	3	Biology	Genetics
3.1.14.1	4	Genetics	Behavioural genetics
3.1.14.2	4	Genetics	Molecular genetics
3.1.14.3	4	Genetics	Population genetics
3.1.15	3	Biology	Endocrinology
3.1.16	3	Biology	Evolutionary biology
3.1.17	3	Biology	Human biology
3.1.18	3	Biology	Immunology
3.1.19	3	Biology	Limnology
3.1.20	3	Biology	Linnaean taxonomy
3.1.21	3	Biology	Marine biology
3.1.22	3	Biology	Mathematical biology
3.1.23	3	Biology	Microbiology
3.1.24	3	Biology	Molecular biology
3.1.25	3	Biology	Mycology
3.1.26	3	Biology	Nutrition
3.1.27	3	Biology	Neuroscience
3.1.27.1	4	Neuroscience	Behavioral neuroscience
3.1.28	3	Biology	Paleobiology
3.1.28.1	4	Paleobiology	Paleontology
3.1.29	3	Biology	Parasitology
3.1.30	3	Biology	Pathology
3.1.31	3	Biology	Physiology
3.1.31.1	4	Physiology	Human physiology
3.1.31.1.1	5	Human physiology	Exercise physiology
3.1.32	3	Biology	Systematics
3.1.33	3	Biology	Systems biology
3.1.34	3	Biology	Virology
3.1.34.1	4	Virology	Molecular virology
3.1.35	3	Biology	Xenobiology
3.1.36	3	Biology	Zoology
3.1.36.1	4	Zoology	Animal communication
3.1.36.2	4	Zoology	Apiology
3.1.36.3	4	Zoology	Arachnology
3.1.36.4	4	Zoology	Carcinology
3.1.36.5	4	Zoology	Cetology
3.1.36.6	4	Zoology	Entomology
3.1.36.7	4	Zoology	Ethnozoology
3.1.36.8	4	Zoology	Ethology
3.1.36.9	4	Zoology	Helminthology
3.1.36.10	4	Zoology	Herpetology
3.1.36.11	4	Zoology	Ichthyology
3.1.36.12	4	Zoology	Mammalogy
3.1.36.13	4	Zoology	Malacology
